ID,RO_E15,RO_G15,RO_TOTAL,P_RO_E15,P_RO_G15,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP
C06036,203,138,341,0.595307918,0.404692082,0.001164144,0.961583237,0.002328288,0.010477299
C06037,187,186,373,0.501340483,0.498659517,0.008739076,0.956304618,0.002496879,0.018726592
C06038,172,168,340,0.505882353,0.494117647,0.001196172,0.965311005,1.32E-11,0.01076555
C06039,128,121,249,0.514056225,0.485943775,0.000825764,0.97853014,0,0.009909166
C06040,139,119,258,0.53875969,0.46124031,0.006445672,0.957642725,0.003683241,0.008287293
C06041,182,113,295,0.616949153,0.383050847,0.005015045,0.961885657,0,0.011033099
C06042,153,115,268,0.570895522,0.429104478,0.00244898,0.975510204,0.001632653,0.012244898
C06043,137,133,270,0.507407407,0.492592593,0.006116208,0.96941896,0,0.007135576
C06044,198,125,323,0.613003096,0.386996904,0.002074689,0.970262794,0.000691563,0.01175657
C06045,157,144,301,0.521594684,0.478405316,0,0.97497156,0.001137656,0.013651876
C06046,119,100,219,0.543378995,0.456621005,0.009687836,0.949407965,0,0.007534984
C06047,132,97,229,0.576419214,0.423580786,0.002076843,0.973001038,0,0.018691589
C06048,171,113,284,0.602112676,0.397887324,0.002991027,0.964107678,0,0.013958125
C07001,119,110,229,0.519650655,0.480349345,0.002814259,0.981238274,0,0.009380863
C07002,128,112,240,0.533333333,0.466666667,0.007985258,0.947788698,0.001228501,0.023955774
C07003,156,133,289,0.539792388,0.460207612,0.004873294,0.959064327,0,0.015594542
C07004,148,141,289,0.512110727,0.487889273,0.008342024,0.965589153,0.002085506,0.014598541
C07005,111,114,225,0.493333333,0.506666667,0.024409449,0.915748032,0,0.037795276
C07006,221,167,388,0.569587629,0.430412371,0.047743024,0.896720023,0.008657228,0.020907076
C07007,125,100,225,0.555555556,0.444444444,0.015748031,0.956036745,0,0.020341207
C07008,200,86,286,0.699300699,0.300699301,0.031190926,0.917769376,0.005671077,0.018903592
C07009,262,244,506,0.517786561,0.482213439,0.012625313,0.944087903,3.71E-10,0.00901808
C07010,176,122,298,0.590604027,0.409395973,0.004314994,0.952535061,0,0.030204961
C07011,147,117,264,0.556818182,0.443181818,0.008731083,0.95983702,0,0.009313155
C07012,148,112,260,0.569230769,0.430769231,0.006123699,0.970606246,6.34E-12,0.010410288
C07013,150,69,219,0.684931507,0.315068493,0.019670158,0.940360189,0.010100775,0.017375757
C07014,156,112,268,0.582089552,0.417910448,0.019809825,0.947702061,0.001584786,0.018225039
C07015,152,150,302,0.503311258,0.496688742,0.009794319,0.947110676,0.000979432,0.010773751
C07016,122,104,226,0.539823009,0.460176991,0.013601419,0.947368421,0,0.009461857
C07017,119,94,213,0.558685446,0.441314554,0.011005136,0.936170213,0.001467351,0.03741746
C07018,124,104,228,0.543859649,0.456140351,0.025044243,0.939432648,0.003416367,0.011753507
C07019,169,100,269,0.628252788,0.371747212,0.003276003,0.958230958,0,0.00982801
C07020,105,69,174,0.603448276,0.396551724,0.003100775,0.96744186,0,0.021705427
C07021,109,87,196,0.556122449,0.443877551,0.016042782,0.901451487,0.000763942,0.07028266
C07022,112,97,209,0.535885167,0.464114833,0.042368918,0.689538094,0.007304986,0.240334041
C07023,171,146,317,0.539432177,0.460567823,0.00591716,0.942011832,0,0.042603552
C07024,143,120,263,0.543726236,0.456273764,0.003218021,0.938857605,0,0.041834269
C07025,112,127,239,0.468619247,0.531380753,0.034509803,0.696470589,0,0.249411765
C07026,131,99,230,0.569565217,0.430434783,0.010086456,0.962536022,0,0.011527377
C07027,142,89,231,0.614718615,0.385281385,0.012600229,0.955326461,0,0.01489118
C07028,113,94,207,0.54589372,0.45410628,0.029100528,0.768959423,0.003527338,0.185185199
C07029,155,78,233,0.665236052,0.334763948,0.014251782,0.961995237,0.001187648,0.011876497
C07030,105,103,208,0.504807692,0.495192308,0.02962963,0.7728395,0,0.169547331
C07031,80,91,171,0.467836257,0.532163743,0.016033755,0.76371308,0.001687764,0.206751057
C07032,262,172,434,0.603686636,0.396313364,0.01003764,0.974905898,0,0.007528231
C07033,251,156,407,0.616707617,0.383292383,0.004778973,0.978494624,0.001194743,0.011947431
C07034,208,156,364,0.571428571,0.428571429,0.004301075,0.962365591,0,0.023655914
C07035,131,141,272,0.481617647,0.518382353,0.025295109,0.811129849,0.006745363,0.136593591
C07036,190,163,353,0.538243626,0.461756374,0.004056795,0.97464503,0,0.017241379
C07037,193,143,336,0.574404762,0.425595238,0.022148395,0.915836102,0.005537098,0.044296788
C07038,124,74,198,0.626262626,0.373737374,0.003988035,0.958125624,0,0.014955134
C07039,160,119,279,0.573476703,0.426523297,0.003783102,0.969735182,4.80E-12,0.001261035
C07040,167,122,289,0.577854671,0.422145329,0.002487562,0.983830846,0,0.002487562
C07041,143,119,262,0.545801527,0.454198473,0.005015045,0.977933801,0.002006018,0.008024072
C07042,159,116,275,0.578181818,0.421818182,0.002453989,0.964417177,0,0.015950922
C07043,158,111,269,0.587360595,0.412639405,0.011185683,0.926174495,0.002237137,0.03803132
C07044,148,99,247,0.599190283,0.400809717,0.012805589,0.908032592,0,0.074505242
