full_text,precinct,ward,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP,TOTVOTES,LIGHTFOOT,PRECKWINKLE,P_LIGHT,P_PRECK,
5041,41,5,0.413483146,0.408988764,0.101123596,0.042696629,242,125,117,0.516528926,0.483471074,
6001,1,6,0.003246753,0.975108225,0,0.006493507,324,189,135,0.583333333,0.416666667,
6002,2,6,0.006437768,0.967811158,3.76E-17,0.013948498,301,208,93,0.6910299,0.3089701,
6003,3,6,0.006722689,0.976470588,0.001680673,0.010084033,327,236,91,0.721712538,0.278287462,
6004,4,6,0.000896861,0.972197309,0,0.009865471,204,150,54,0.735294118,0.264705882,
6005,5,6,0.000685401,0.989033585,0,0.006168609,160,112,48,0.7,0.3,
6006,6,6,0.002214839,0.970099668,0.00110742,0.016611296,321,208,113,0.647975078,0.352024922,
6007,7,6,0.006661732,0.974093263,5.60E-12,0.006661732,241,171,70,0.709543568,0.290456432,
6008,8,6,0.004232804,0.979894179,0.001058201,0.004232805,313,192,121,0.61341853,0.38658147,
6009,9,6,0.000716332,0.97277937,0,0.020773639,228,160,68,0.701754386,0.298245614,
6010,10,6,0.005319149,0.967420213,0.001994681,0.014627659,148,104,44,0.702702703,0.297297297,
6011,11,6,0.00399361,0.977635782,0.003194888,0.007188499,237,163,74,0.687763713,0.312236287,
6012,12,6,0.003489184,0.976971389,0,0.011863224,157,108,49,0.687898089,0.312101911,
6013,13,6,0.009234829,0.972295513,0,0.003957784,229,153,76,0.668122271,0.331877729,
6014,14,6,0.026061778,0.951737449,0,0.00965251,263,183,80,0.69581749,0.30418251,
6015,15,6,0.007446808,0.979787234,5.28E-11,0.00319149,195,132,63,0.676923077,0.323076923,
6016,16,6,0.003363229,0.950672647,0,0.033632286,324,209,115,0.645061728,0.354938272,
6017,17,6,0.00310752,0.983219391,0,0.010565569,171,121,50,0.707602339,0.292397661,
6018,18,6,0.01285347,0.969151671,0,0.01285347,173,113,60,0.653179191,0.346820809,
6019,19,6,0.001850139,0.987974098,0,0.000925069,252,179,73,0.71031746,0.28968254,
6020,20,6,0.003731343,0.966417911,0,0.008955224,151,115,36,0.761589404,0.238410596,
6021,21,6,0.008858267,0.968503937,0,0.013779528,130,93,37,0.715384615,0.284615385,
6022,22,6,0.002028398,0.976673428,1.40E-10,0.015212981,156,119,37,0.762820513,0.237179487,
6023,23,6,0,0.969957082,0,0.015021458,135,100,35,0.740740741,0.259259259,
6024,24,6,0.004153686,0.968847352,0,0.020768432,142,91,51,0.64084507,0.35915493,
6025,25,6,0.003267974,0.982026144,0.000816993,0.001633987,135,94,41,0.696296296,0.303703704,
6026,26,6,0.003579098,0.969219757,0,0.008589835,164,106,58,0.646341463,0.353658537,
6027,27,6,0,0.979710145,0,0.007729469,155,111,44,0.716129032,0.283870968,
6028,28,6,0.00310559,0.986024845,6.99E-18,0.003881988,132,79,53,0.598484848,0.401515152,
6029,29,6,0.004944376,0.967861561,0.002472187,0.003708282,334,215,119,0.643712575,0.356287425,
6030,30,6,0.000818331,0.979541734,0,0.004909984,210,141,69,0.671428571,0.328571429,
6031,31,6,0.002666667,0.978666667,0.001333333,0.006666667,304,181,123,0.595394737,0.404605263,
6032,32,6,0.004119465,0.979402677,0,0.010298661,257,179,78,0.696498054,0.303501946,
6033,33,6,0.007326007,0.966117216,0.000915751,0.003663004,286,203,83,0.70979021,0.29020979,
6034,34,6,0.001821494,0.97996357,0,0.007285975,273,182,91,0.666666667,0.333333333,
6035,35,6,0.002597402,0.977922077,0,0.014285714,247,153,94,0.619433198,0.380566802,
6036,36,6,0.001164144,0.961583237,0.002328288,0.010477299,345,204,141,0.591304348,0.408695652,
6037,37,6,0.008739076,0.956304618,0.002496879,0.018726592,326,205,121,0.628834356,0.371165644,
6038,38,6,0.001196172,0.965311005,1.32E-11,0.01076555,312,195,117,0.625,0.375,
6039,39,6,0.000825764,0.97853014,0,0.009909166,224,144,80,0.642857143,0.357142857,
6040,40,6,0.006445672,0.957642725,0.003683241,0.008287293,265,175,90,0.660377358,0.339622642,
6041,41,6,0.005015045,0.961885657,0,0.011033099,284,196,88,0.690140845,0.309859155,
6042,42,6,0.00244898,0.975510204,0.001632653,0.012244898,266,172,94,0.646616541,0.353383459,
6043,43,6,0.006116208,0.96941896,0,0.007135576,230,167,63,0.726086957,0.273913043,
6044,44,6,0.002074689,0.970262795,0.000691563,0.01175657,255,172,83,0.674509804,0.325490196,
6045,45,6,0,0.97497156,0.001137656,0.013651876,300,180,120,0.6,0.4,
6046,46,6,0.009687836,0.949407965,0,0.007534984,186,128,58,0.688172043,0.311827957,
6047,47,6,0.002076843,0.973001038,0,0.018691589,181,139,42,0.767955801,0.232044199,
6048,48,6,0.002991027,0.964107678,0,0.013958125,275,180,95,0.654545455,0.345454545,
7001,1,7,0.002814259,0.981238274,0,0.009380863,221,152,69,0.687782805,0.312217195,
7002,2,7,0.007985258,0.947788698,0.001228501,0.023955774,212,145,67,0.683962264,0.316037736,
